amount,contributor_name,date,honoree_name,state,country
5000.00,EADS NORTH AMERICA: AMERICANS FOR COMPETITION IN AEROSPACE P,2013-04-22,Sen. Jeff Sessions,VA,US
2500.00,EADS NORTH AMERICA: AMERICANS FOR COMPETITION IN AEROSPACE P,2013-02-19,Rep. Ralph M. Hall,VA,US
1000.00,EADS NORTH AMERICA: AMERICANS FOR COMPETITION IN AEROSPACE P,2013-06-05,Rep. Robert Aderholt,VA,US
2500.00,EADS NORTH AMERICA: AMERICANS FOR COMPETITION IN AEROSPACE P,2013-05-14,Rep. Bennie Thompson,VA,US
1000.00,EADS NORTH AMERICA: AMERICANS FOR COMPETITION IN AEROSPACE P,2013-02-12,Rep. Frank Lobiondo,VA,US
3000.00,EADS NORTH AMERICA: AMERICANS FOR COMPETITION IN AEROSPACE P,2013-04-22,Rep. Loretta Sanchez,VA,US
2500.00,EADS NORTH AMERICA: AMERICANS FOR COMPETITION IN AEROSPACE P,2013-05-14,Rep. Pete Visclosky,VA,US
1500.00,EADS NORTH AMERICA: AMERICANS FOR COMPETITION IN AEROSPACE P,2013-02-12,Rep. Janice Hahn,VA,US
1000.00,EADS NORTH AMERICA: AMERICANS FOR COMPETITION IN AEROSPACE P,2013-06-05,Rep. Bill Young,VA,US
1000.00,EADS NORTH AMERICA: AMERICANS FOR COMPETITION IN AEROSPACE P,2013-05-14,Rep. Tim Ryan,VA,US
2500.00,EADS NORTH AMERICA: AMERICANS FOR COMPETITION IN AEROSPACE P,2013-06-05,Rep. Marc Veasey,VA,US
5000.00,EADS NORTH AMERICA: AMERICANS FOR COMPETITION IN AEROSPACE P,2013-02-19,Sen. Thad Cochran,VA,US
1000.00,EADS NORTH AMERICA: AMERICANS FOR COMPETITION IN AEROSPACE P,2013-02-19,Rep. Hal Dallas Rogers,VA,US
2500.00,EADS NORTH AMERICA: AMERICANS FOR COMPETITION IN AEROSPACE P,2013-03-06,NRCC,VA,US
1000.00,EADS NORTH AMERICA: AMERICANS FOR COMPETITION IN AEROSPACE P,2013-04-22,Rep. Mike Rogers MI,VA,US
1000.00,EADS NORTH AMERICA: AMERICANS FOR COMPETITION IN AEROSPACE P,2013-06-05,Rep. Rodney Frelinghuysen,VA,US
1000.00,EADS NORTH AMERICA: AMERICANS FOR COMPETITION IN AEROSPACE P,2013-01-23,Sen. Tim Scott,VA,US
2500.00,EADS NORTH AMERICA: AMERICANS FOR COMPETITION IN AEROSPACE P,2013-02-12,Rep. Buck McKeon,VA,US
2000.00,EADS NORTH AMERICA: AMERICANS FOR COMPETITION IN AEROSPACE P,2013-06-05,Rep. Mo Brooks,VA,US
1000.00,EADS NORTH AMERICA: AMERICANS FOR COMPETITION IN AEROSPACE P,2013-03-06,Rep. Mike Pompeo,VA,US
2500.00,EADS NORTH AMERICA: AMERICANS FOR COMPETITION IN AEROSPACE P,2013-06-05,Rep. Michael Turner,VA,US
2500.00,EADS NORTH AMERICA: AMERICANS FOR COMPETITION IN AEROSPACE P,2013-03-06,"Rep. Josiah Robins Bonner, Jr.",VA,US
1000.00,EADS NORTH AMERICA: AMERICANS FOR COMPETITION IN AEROSPACE P,2013-06-05,Rep. Ken Calver,VA,US
