Unnamed: 0,Bio Guide ID,Name,Party,State,API URL,District Number,Senate End Year,Senate Start Year,House Start Year,House End Year,Gender,Bill
327,M000871,"Mann, Tracey",Republican,Kansas,https://api.congress.gov/v3/member/M000871?format=json,1.0,,,2021.0,,M,37.0
328,M000317,"Malliotakis, Nicole",Republican,New York,https://api.congress.gov/v3/member/M000317?format=json,11.0,,,2021.0,,F,48.0
329,M000194,"Mace, Nancy",Republican,South Carolina,https://api.congress.gov/v3/member/M000194?format=json,1.0,,,2021.0,,F,34.0
330,L000273,"Leger Fernandez, Teresa",Democratic,New Mexico,https://api.congress.gov/v3/member/L000273?format=json,3.0,,,2021.0,,F,36.0
331,L000266,"LaTurner, Jake",Republican,Kansas,https://api.congress.gov/v3/member/L000266?format=json,2.0,,,2021.0,,M,10.0
332,J000305,"Jacobs, Sara",Democratic,California,https://api.congress.gov/v3/member/J000305?format=json,51.0,,,2021.0,,F,25.0
333,J000304,"Jackson, Ronny",Republican,Texas,https://api.congress.gov/v3/member/J000304?format=json,13.0,,,2021.0,,M,41.0
334,H001091,"Hinson, Ashley",Republican,Iowa,https://api.congress.gov/v3/member/H001091?format=json,2.0,,,2021.0,,F,31.0
335,H001086,"Harshbarger, Diana",Republican,Tennessee,https://api.congress.gov/v3/member/H001086?format=json,1.0,,,2021.0,,F,21.0
336,G000597,"Garbarino, Andrew R.",Republican,New York,https://api.congress.gov/v3/member/G000597?format=json,2.0,,,2021.0,,M,25.0
337,G000596,"Greene, Marjorie Taylor",Republican,Georgia,https://api.congress.gov/v3/member/G000596?format=json,14.0,,,2021.0,,F,34.0
338,G000595,"Good, Bob",Republican,Virginia,https://api.congress.gov/v3/member/G000595?format=json,5.0,,,2021.0,,M,59.0
339,G000594,"Gonzales, Tony",Republican,Texas,https://api.congress.gov/v3/member/G000594?format=json,23.0,,,2021.0,,M,30.0
340,G000593,"Gimenez, Carlos A.",Republican,Florida,https://api.congress.gov/v3/member/G000593?format=json,28.0,,,2021.0,,M,28.0
341,F000472,"Franklin, C. Scott",Republican,Florida,https://api.congress.gov/v3/member/F000472?format=json,18.0,,,2021.0,,M,17.0
342,F000471,"Fitzgerald, Scott",Republican,Wisconsin,https://api.congress.gov/v3/member/F000471?format=json,5.0,,,2021.0,,M,22.0
343,F000470,"Fischbach, Michelle",Republican,Minnesota,https://api.congress.gov/v3/member/F000470?format=json,7.0,,,2021.0,,F,21.0
344,F000446,"Feenstra, Randy",Republican,Iowa,https://api.congress.gov/v3/member/F000446?format=json,4.0,,,2021.0,,M,32.0
345,F000246,"Fallon, Pat",Republican,Texas,https://api.congress.gov/v3/member/F000246?format=json,4.0,,,2021.0,,M,25.0
346,D000032,"Donalds, Byron",Republican,Florida,https://api.congress.gov/v3/member/D000032?format=json,19.0,,,2021.0,,M,56.0
347,C001116,"Clyde, Andrew S.",Republican,Georgia,https://api.congress.gov/v3/member/C001116?format=json,9.0,,,2021.0,,M,26.0
348,C001039,"Cammack, Kat",Republican,Florida,https://api.congress.gov/v3/member/C001039?format=json,3.0,,,2021.0,,F,18.0
349,B001224,"Bush, Cori",Democratic,Missouri,https://api.congress.gov/v3/member/B001224?format=json,1.0,,,2021.0,,F,26.0
350,B001223,"Bowman, Jamaal",Democratic,New York,https://api.congress.gov/v3/member/B001223?format=json,16.0,,,2021.0,,M,27.0
351,B000825,"Boebert, Lauren",Republican,Colorado,https://api.congress.gov/v3/member/B000825?format=json,3.0,,,2021.0,,F,56.0
352,B000740,"Bice, Stephanie I.",Republican,Oklahoma,https://api.congress.gov/v3/member/B000740?format=json,5.0,,,2021.0,,F,29.0
353,B000668,"Bentz, Cliff",Republican,Oregon,https://api.congress.gov/v3/member/B000668?format=json,2.0,,,2021.0,,M,7.0
354,A000148,"Auchincloss, Jake",Democratic,Massachusetts,https://api.congress.gov/v3/member/A000148?format=json,4.0,,,2021.0,,M,6.0
355,H001092,"Hall, Kwanza",Democratic,Georgia,https://api.congress.gov/v3/member/H001092?format=json,5.0,,,2020.0,2021.0,U,6.0
356,T000165,"Tiffany, Thomas P.",Republican,Wisconsin,https://api.congress.gov/v3/member/T000165?format=json,7.0,,,2020.0,,U,28.0
357,G000061,"Garcia, Mike",Republican,California,https://api.congress.gov/v3/member/G000061?format=json,27.0,,,2020.0,,U,18.0
358,G000290,"Goodling, George A.",Republican,Pennsylvania,https://api.congress.gov/v3/member/G000290?format=json,19.0,,,1961.0,1965.0,M,14.0
359,B001311,"Bishop, Dan",Republican,North Carolina,https://api.congress.gov/v3/member/B001311?format=json,8.0,,,2019.0,,M,34.0
