,Bio Guide ID,Name,Party,State,District Number,Senate End Year,Senate Start Year,House Start Year,House End Year,Current Senator,Current House Rep,Years in Senate,Years in House,Served in Senate,Served in House,Suffix,Nickname,Last,First_Actual,Middle
395,C000077,"Campbell, Ben Nighthorse",Republican,Colorado,,2005.0,1993.0,1987.0,1993.0,N,N,12.0,6.0,Y,Y,,,Campbell,Ben,Nighthorse
396,B001066,"Bunning, Jim",Republican,Kentucky,,2011.0,1999.0,1987.0,1999.0,N,N,12.0,12.0,Y,Y,,,Bunning,Jim,
397,B000953,"Brownback, Sam",Republican,Kansas,,2011.0,1996.0,1995.0,1996.0,N,N,15.0,1.0,Y,Y,,,Brownback,Sam,
398,B000919,"Brown, Hank",Republican,Colorado,,1997.0,1991.0,1981.0,1991.0,N,N,6.0,10.0,Y,Y,,,Brown,Hank,
399,B000243,"Baucus, Max",Democratic,Montana,,2014.0,1979.0,1975.0,1979.0,N,N,35.0,4.0,Y,Y,,,Baucus,Max,
400,A000219,"Armstrong, William L.",Republican,Colorado,,1991.0,1979.0,1973.0,1979.0,N,N,12.0,6.0,Y,Y,,,Armstrong,William,L.
401,A000208,"Andrews, Mark",Republican,North Dakota,,1987.0,1981.0,1963.0,1981.0,N,N,6.0,18.0,Y,Y,,,Andrews,Mark,
402,A000121,"Allen, George",Republican,Virginia,,2007.0,2001.0,1991.0,1993.0,N,N,6.0,2.0,Y,Y,,,Allen,George,
403,A000109,"Allard, Wayne",Republican,Colorado,,2009.0,1997.0,1991.0,1997.0,N,N,12.0,6.0,Y,Y,,,Allard,Wayne,
404,A000069,"Akaka, Daniel K.",Democratic,Hawaii,,2013.0,1990.0,1977.0,1991.0,N,N,23.0,14.0,Y,Y,,,Akaka,Daniel,K.
405,A000031,"Adams, Brock",Democratic,Washington,,1993.0,1987.0,1965.0,1979.0,N,N,6.0,14.0,Y,Y,,,Adams,Brock,
406,A000009,"Abdnor, James",Republican,South Dakota,,1987.0,1981.0,1973.0,1981.0,N,N,6.0,8.0,Y,Y,,,Abdnor,James,
407,E000194,"Ensign, John",Republican,Nevada,,2011.0,2001.0,1995.0,1999.0,N,N,10.0,4.0,Y,Y,,,Ensign,John,
408,D000432,"Dorgan, Byron L.",Democratic,North Dakota,,2011.0,1991.0,1981.0,1993.0,N,N,20.0,12.0,Y,Y,,,Dorgan,Byron,L.
